Metric,Date,Position,t-statistic,p-value (t-test),W-statistic,p-value (Wilcoxon),Effect Size (Cohen's d)
Eccentric Braking Impulse [N s],2023-09-19,Forward,18.090858044902934,2.1514190913922823e-58,34122.0,1.3223252005170366e-36,1.233638856603148
Eccentric Braking Impulse [N s],2023-09-19,Guard,22.998150757885803,4.2663539901767916e-94,58685.0,8.278726135667194e-96,0.6174097752829429
Eccentric Braking Impulse [N s],2023-09-19,,,,,,
Eccentric Braking Impulse [N s],2023-09-26,Forward,inf,0.0,0.0,1.523970604832094e-23,56096324377050.78
Eccentric Braking Impulse [N s],2023-09-26,Guard,14.732119998682926,1.7177930680315472e-41,19753.0,1.4179644900075298e-48,0.17157982099715727
Eccentric Braking Impulse [N s],2023-09-26,,,,,,
Eccentric Braking Impulse [N s],2023-09-27,Forward,12.715440551188903,3.0983304428401816e-27,2080.0,3.425088362335302e-21,0.39291806215934394
Eccentric Braking Impulse [N s],2023-09-27,Guard,1.4909375919465202,0.13670767625932648,35968.0,2.2589823237138798e-05,0.0644318730817648
Eccentric Braking Impulse [N s],2023-09-27,,,,,,
Eccentric Braking Impulse [N s],2023-10-03,Forward,19.2789557222265,1.5715986715898668e-64,19306.0,1.4643131567096323e-61,0.8623403350406802
Eccentric Braking Impulse [N s],2023-10-03,Guard,31.344160333728404,2.8865339823660986e-157,77028.0,5.244263078792852e-119,0.7407967177968153
Eccentric Braking Impulse [N s],2023-10-03,,,,,,
Eccentric Braking Impulse [N s],2023-10-04,Forward,3.3483752827040414,0.0013757158976038329,528.0,0.000559890647739198,0.1995706175080625
Eccentric Braking Impulse [N s],2023-10-04,Guard,7.380416240919678,1.821058162269894e-11,1672.0,4.6140953706285335e-09,0.33017410697993316
Eccentric Braking Impulse [N s],2023-10-04,,,,,,
Eccentric Braking Impulse [N s],2023-10-10,Forward,,,0.0,1.0,
Eccentric Braking Impulse [N s],2023-10-10,Guard,-0.26011115549733504,0.807618439975714,6.0,0.8125,-0.11374359856757056
Eccentric Braking Impulse [N s],2023-10-10,,,,,,
Eccentric Braking Impulse [N s],2023-10-11,Forward,5.825332566289212e+16,0.0,0.0,1.523970604832094e-23,90317947344194.84
Eccentric Braking Impulse [N s],2023-10-11,Guard,6.226657294865526,1.0120073344520196e-09,40100.0,2.4935850364438685e-12,0.3706630628746052
Eccentric Braking Impulse [N s],2023-10-11,,,,,,
Eccentric Braking Impulse [N s],2023-10-17,Forward,90.68637072851462,1.1055547325276572e-264,0.0,3.05837865032028e-70,5.122132891009347
Eccentric Braking Impulse [N s],2023-10-17,Guard,20.580262436138963,4.3457305380457574e-75,47489.0,2.4281760089867487e-58,1.3226015433007143
Eccentric Braking Impulse [N s],2023-10-17,,,,,,
